"id","city","temperature","wind_speed","condition","timestamp"
1,"Yerevan",14.7,3.0,"Mild 🌤","2026-03-19 11:37:11.724856"
2,"Gyumri",7.7,6.1,"Cold ❄️","2026-03-19 11:37:12.208315"
3,"Vanadzor",8.8,12.6,"Cold ❄️","2026-03-19 11:37:12.471872"
4,"Dilijan",10.6,11.6,"Mild 🌤","2026-03-19 11:37:12.769027"
5,"Hrazdan",8.4,3.8,"Cold ❄️","2026-03-19 11:37:13.141008"
6,"Abovyan",10.2,6.2,"Mild 🌤","2026-03-19 11:37:14.049193"
7,"Kapan",11.4,9.6,"Mild 🌤","2026-03-19 11:37:14.359774"
8,"Goris",8.3,12.7,"Cold ❄️","2026-03-19 11:37:14.634974"
9,"Sevan",6.5,8.4,"Cold ❄️","2026-03-19 11:37:14.988826"
10,"Ijevan",9.6,10.3,"Cold ❄️","2026-03-19 11:37:15.250533"
11,"Armavir",14.9,10.6,"Mild 🌤","2026-03-19 11:37:15.52584"
12,"Artashat",16.4,18.0,"Mild 🌤","2026-03-19 11:37:15.787995"
13,"Sisian",9.6,15.1,"Cold ❄️","2026-03-19 11:37:16.098601"
14,"Yerevan",14.7,3.0,"Mild 🌤","2026-03-19 11:37:15.108654"
15,"Gyumri",7.7,6.1,"Cold ❄️","2026-03-19 11:37:15.376915"
16,"Vanadzor",8.8,12.6,"Cold ❄️","2026-03-19 11:37:15.740245"
17,"Dilijan",10.6,11.6,"Mild 🌤","2026-03-19 11:37:16.046099"
18,"Hrazdan",8.4,3.8,"Cold ❄️","2026-03-19 11:37:16.413782"
19,"Abovyan",10.2,6.2,"Mild 🌤","2026-03-19 11:37:16.966032"
20,"Kapan",11.4,9.6,"Mild 🌤","2026-03-19 11:37:17.346939"
21,"Goris",8.3,12.7,"Cold ❄️","2026-03-19 11:37:17.742818"
22,"Sevan",6.5,8.4,"Cold ❄️","2026-03-19 11:37:18.024363"
23,"Ijevan",9.6,10.3,"Cold ❄️","2026-03-19 11:37:18.300158"
24,"Armavir",14.9,10.6,"Mild 🌤","2026-03-19 11:37:18.571091"
25,"Artashat",16.4,18.0,"Mild 🌤","2026-03-19 11:37:18.906176"
26,"Sisian",9.6,15.1,"Cold ❄️","2026-03-19 11:37:19.327666"
27,"Yerevan",14.7,3.0,"Mild 🌤","2026-03-19 11:37:21.247356"
28,"Gyumri",7.7,6.1,"Cold ❄️","2026-03-19 11:37:21.568013"
